Word,Valence Mean,Arousal Mean,Dominance Mean
不可思議,5.4,7.2,
不平,3.6,5.8,
不甘,3.2,6.4,
不安,3.8,5.4,
不利,3.6,5.6,
不足,4.2,4.2,
不定,4.2,3.8,
不宜,3.8,4.4,
不幸,2.6,6.0,
不拘小節,6.4,4.2,
不服,3.4,6.6,
不知所措,3.2,6.2,
不便,4.0,4.4,
不耐,4.0,4.4,
不耐煩,3.6,6.0,
不准,3.6,6.2,
不屑,3.0,6.0,
不悅,3.2,6.0,
不爽,2.8,7.2,
不祥,2.8,5.2,
不符,3.8,4.0,
不順,3.6,4.6,
不當,3.4,5.6,
不解,4.2,4.2,
不滿,3.2,6.4,
不適,3.6,4.6,
正,6.6,5.0,
多餘,4.0,4.0,
好,6.8,5.2,
否定,3.4,5.4,
否認,3.6,5.2,
足夠,5.8,4.0,
肯定,6.8,6.0,
哇,6.0,6.6,
哎呀,4.8,6.8,
恰好,6.4,5.0,
耶,7.2,7.2,
單獨,4.4,3.6,
無力,3.2,3.6,
無足輕重,4.4,4.0,
無情,2.6,5.8,
無理,2.6,6.8,
無暇,3.6,5.6,
無趣,3.4,5.2,
無禮,2.8,7.0,
想,5.2,3.6,
過分,2.8,6.8,
對,6.4,4.8,
認真,7.0,5.0,
嘻,6.6,5.8,
嘻嘻,7.0,6.2,
隨便,4.2,5.2,
隨意,5.6,4.2,
豐富,6.8,5.6,
願意,6.8,5.0,
小心,4.6,6.0,
分享,6.8,4.6,
支持,7.2,5.0,
支撐,5.6,5.6,
付出,5.8,5.6,
失去,3.2,6.4,
失敗,2.2,7.2,
打,3.2,6.6,
同意,6.4,4.4,
成功,8.2,6.6,
死,1.2,5.0,
吸引,6.0,6.2,
希望,7.0,5.2,
忘記,4.0,4.6,
協助,6.6,4.6,
抱,5.8,5.2,
玩,5.6,5.8,
信任,7.8,5.8,
相信,7.2,5.4,
討厭,2.6,6.6,
貢獻,7.4,5.6,
逃避,3.0,6.0,
喜愛,7.2,6.2,
喜歡,7.0,5.8,
喪失,2.6,5.8,
期望,6.0,5.2,
答應,5.8,5.0,
幹,1.0,8.8,
愛,8.2,5.4,
愛好,7.0,5.6,
感謝,7.4,5.6,
損失,3.2,5.2,
經歷,5.0,4.8,
遇到,5.0,4.2,
遊戲,5.8,4.8,
鼓勵,7.0,6.2,
適合,5.6,3.8,
擔心,3.4,6.6,
輸,3.0,4.4,
錯過,3.6,4.4,
幫忙,6.4,5.0,
幫助,6.6,5.6,
應付,4.2,5.4,
謝謝,6.6,5.8,
懷念,6.0,5.6,
關心,6.4,6.0,
關懷,6.8,6.4,
贏,7.2,7.0,
贏得,7.4,7.0,
下流,2.2,7.6,
王八蛋,1.4,8.6,
他媽的,1.4,8.4,
白目,2.2,7.2,
白癡,2.2,7.4,
呸,2.4,7.4,
垃圾,2.2,7.4,
怪胎,2.4,7.0,
放屁,2.6,7.0,
狗屁,2.4,7.6,
淫婦,1.8,7.8,
混蛋,2.0,8.0,
笨蛋,3.0,5.6,
媽的,2.2,7.6,
愚蠢,2.8,6.0,
該死,2.6,7.6,
賤,2.2,7.2,
賤人,2.0,7.8,
賤貨,1.8,8.2,
操,2.0,8.0,
蕩婦,1.8,7.8,
蹩腳,3.6,5.2,
壞蛋,3.0,6.4,
爛貨,2.2,6.8,
白痴,2.4,6.4,
八卦,3.4,4.6,
仇人,2.2,7.2,
仇恨,2.2,7.8,
仇敵,2.0,7.6,
分擔,5.6,4.4,
友,6.4,4.2,
反駁,3.8,6.4,
打岔,3.8,4.2,
打架,2.6,7.6,
打斷,4.0,4.6,
交往,6.4,5.2,
同情,5.4,4.2,
安心,5.6,2.4,
伴侶,7.0,4.6,
忌妒,3.0,6.8,
批評,3.2,7.6,
抗議,3.2,7.8,
取笑,3.6,6.2,
坦白,6.0,5.6,
奉承,3.6,5.6,
奉獻,6.8,6.0,
抱怨,2.8,6.6,
拒絕,3.0,6.6,
放心,6.2,3.2,
朋友,6.8,4.2,
爭吵,3.4,6.6,
爭論,3.8,6.6,
知己,7.2,4.8,
侮辱,2.4,7.6,
信服,6.4,5.4,
信賴,7.2,5.4,
冒犯,3.2,7.0,
怨恨,2.0,7.8,
指責,3.4,6.8,
原諒,5.8,4.2,
辱罵,2.4,7.0,
鬥爭,3.0,7.4,
情人,6.8,6.6,
甜心,6.8,6.0,
責備,3.4,6.4,
逗弄,5.4,5.4,
插嘴,3.6,5.6,
款待,6.2,5.4,
詛咒,2.2,7.4,
開玩笑,6.2,5.2,
閒話,4.0,4.4,
愛人,7.2,6.8,
愛戀,7.6,6.8,
隔離,3.4,5.0,
嘉獎,6.8,5.8,
稱讚,6.8,6.0,
說服,5.0,4.2,
說長道短,3.2,5.0,
駁斥,2.8,7.2,
嘲弄,2.6,6.2,
嘲笑,2.6,6.6,
嘲罵,2.6,7.4,
嘲諷,2.6,7.4,
寬恕,6.2,4.6,
慶典,6.6,5.6,
慶祝,7.0,6.4,
憐憫,5.8,5.0,
摯友,7.4,5.2,
敵人,3.0,6.0,
樂意,6.8,5.4,
熱愛,7.2,7.0,
調情,5.4,6.8,
諂媚,3.4,5.6,
親切,7.0,5.0,
親愛,7.4,6.0,
親愛的,7.2,6.4,
幫手,6.4,4.8,
戲弄,3.4,6.2,
鍾愛,7.0,6.6,
歸咎,3.2,5.6,
離婚,2.4,5.8,
懷疑,3.8,4.4,
譏,3.2,6.0,
寶貝,7.4,6.4,
饒恕,5.6,5.0,
譴責,3.0,7.2,
歡迎,7.2,6.4,
歡送,6.0,6.2,
歡聚,7.2,6.2,
戀人,7.0,5.8,
戀愛,7.6,6.4,
讚美,7.0,5.6,
讚揚,7.6,6.6,
讚譽,7.6,6.8,
ㄏㄏ,5.8,4.6,
一無所有,2.4,4.4,
七竅生煙,2.2,7.8,
了不起,7.0,6.4,
人心惶惶,2.6,7.4,
上級,4.8,4.4,
上當,3.2,6.2,
下定決心,6.2,6.8,
口吃,3.8,4.0,
大方,6.4,5.2,
大笑,6.4,6.8,
大膽,5.4,6.2,
小氣,3.6,4.6,
小偷,3.2,5.6,
才能,6.6,4.6,
才智,7.0,4.6,
不仁,3.0,5.8,
不貞,2.8,6.8,
不顧一切,4.6,7.8,
中斷,4.6,3.6,
仁心,7.4,5.2,
仁術,7.4,5.0,
仁愛,7.8,5.2,
仁慈,7.8,5.2,
仁義,7.4,5.4,
仇,2.4,6.0,
仇殺,1.4,8.2,
仇視,2.0,7.6,
元兇,2.2,6.4,
內疚,3.0,5.0,
公憤,2.4,8.0,
凶,2.8,7.2,
分心,4.0,4.4,
分手,2.8,6.4,
分歧,3.2,5.6,
分紅,6.2,4.4,
分散,4.4,3.8,
分裂,3.6,5.8,
勾引,3.8,6.4,
厄運,3.0,5.8,
及時,6.4,5.4,
反抗,3.6,6.6,
反叛,2.8,6.4,
反派,3.2,5.0,
反感,3.6,5.2,
反對,3.4,6.2,
天才,6.8,5.4,
天堂,7.0,5.4,
天資,5.8,4.4,
天賦,6.0,4.4,
幻想,4.6,4.2,
引人注目,5.8,6.4,
引誘,3.8,6.4,
心灰意冷,2.8,3.6,
心神不定,3.2,6.6,
心神不寧,3.2,6.8,
心情,5.0,3.6,
心痛,2.6,7.2,
心愛,7.2,6.4,
心煩意亂,3.0,7.4,
心碎,2.2,8.0,
心酸,2.8,6.8,
支配,4.6,5.2,
欠債,3.4,4.6,
毛骨悚然,2.2,8.0,
火熱,6.4,7.2,
世仇,1.8,8.2,
乏味,3.4,3.0,
仔細,6.2,3.8,
充沛,6.6,6.0,
出色,7.2,5.6,
功勞,6.8,5.4,
古怪,4.2,4.8,
可口,6.4,5.8,
可怕,3.4,6.8,
可恥,2.4,7.2,
可笑,3.0,6.6,
可悲,2.6,6.4,
可惡,2.4,7.2,
可愛,7.0,6.2,
可鄙,2.4,7.4,
可憎,2.4,7.2,
可憐,3.6,5.2,
可靠,6.8,5.2,
外向,6.0,5.8,
外行,3.8,4.6,
外傷,3.6,6.2,
失眠,3.0,3.6,
失控,2.4,7.8,
失望,3.0,5.6,
失誤,3.6,5.4,
平安,7.2,3.4,
平和,7.0,2.8,
平庸,4.6,3.0,
平靜,6.4,2.4,
平穩,5.8,3.4,
打仗,3.0,7.6,
打倒,3.4,6.6,
打破,4.0,6.2,
打情罵俏,4.6,6.6,
打敗,6.2,6.0,
打擊,4.2,6.8,
打擾,3.6,5.6,
打攪,3.6,5.6,
末日,1.8,6.8,
正面,6.6,4.6,
生命力,6.8,5.8,
生氣,5.4,5.8,
生氣勃勃,7.0,6.8,
生病,3.4,4.0,
生動,6.4,5.8,
生疏,3.8,3.4,
生厭,3.4,5.8,
用力,5.0,7.0,
目瞪口呆,5.0,7.4,
矛盾,4.2,4.6,
丟人,2.8,6.0,
丟人現眼,2.4,6.8,
丟下,2.8,5.4,
丟棄,3.0,5.6,
丟臉,3.0,5.8,
交戰,4.0,7.4,
任性,3.4,5.4,
兇,3.4,7.2,
光亮,5.8,4.6,
光榮,6.8,6.2,
光輝,6.6,5.8,
劣,3.0,5.0,
危,3.2,6.6,
吃醋,3.6,6.6,
吃驚,3.8,7.8,
合宜,6.2,4.4,
回春,6.2,4.8,
多情,4.2,6.0,
多疑,3.8,6.0,
好玩,6.2,5.8,
好笑,6.2,6.4,
好處,6.2,5.0,
好棒,7.2,6.6,
好運,6.6,5.2,
妄想,3.2,6.0,
安全,6.4,4.4,
安逸,6.0,3.4,
安寧,6.2,2.8,
安靜,5.6,2.4,
安穩,6.0,2.6,
成見,3.8,5.2,
成就,7.0,6.2,
收穫,6.8,5.6,
曲解,3.4,6.0,
有力,6.0,6.0,
有用,6.4,5.2,
有利,5.8,5.4,
有助,6.4,5.2,
有害,3.4,5.6,
有效,6.6,5.0,
有益,6.6,5.0,
有趣,7.0,5.6,
有錢,6.4,5.4,
次要,4.6,5.0,
次等,4.0,4.6,
死人,2.2,7.0,
死亡,2.2,6.8,
死不,3.8,5.6,
死心,2.4,5.8,
死刑,2.4,7.2,
死氣,3.0,5.8,
死期,2.8,6.6,
死當,3.0,6.4,
死路,3.2,5.0,
死對頭,2.6,7.4,
污穢,2.4,7.2,
灰心,3.6,4.6,
百感交集,3.4,7.2,
自大,3.0,6.6,
自甘墮落,2.6,5.2,
自由,6.6,5.2,
自在,6.8,4.6,
自私,3.2,4.6,
自卑,2.6,3.8,
自信,7.0,5.6,
自負,4.6,6.0,
自責,3.6,5.2,
自尊,5.4,4.8,
自豪,6.6,6.0,
自鳴得意,4.2,5.0,
自暴自棄,2.0,7.0,
至高無上,7.6,6.8,
至善,7.6,6.0,
色情,2.8,6.2,
伶俐,6.8,5.0,
低沉,4.6,3.4,
低能,2.6,4.6,
低能兒,2.6,4.8,
低迷,3.6,3.2,
低落,3.8,3.0,
佔便宜,3.6,4.4,
作嘔,2.6,7.4,
作弊,2.0,6.4,
克制,5.0,5.0,
免費,6.2,4.8,
冷,3.6,4.4,
冷淡,3.0,3.6,
冷酷,2.4,5.4,
冷靜,5.2,4.4,
利己,5.6,4.8,
利益,6.2,5.0,
利潤,6.6,5.4,
吝嗇,3.4,4.6,
含糊,3.8,4.2,
吹毛求疵,3.2,5.6,
吻,7.2,7.6,
呆,3.8,3.8,
困,3.8,4.4,
坎坷,2.0,4.8,
壯闊,6.8,6.0,
壯麗,7.0,6.4,
壯觀,7.0,6.8,
妓女,2.8,4.8,
妨害,2.6,6.2,
妨礙,3.2,5.8,
孝,7.2,4.0,
孝順,7.4,5.4,
孝敬,7.4,5.4,
完美,7.6,6.4,
完備,6.8,4.8,
完善,6.8,4.6,
宏大,7.0,6.0,
宏偉,7.2,7.0,
屁眼,1.8,5.6,
岔開,4.0,4.2,
巫婆,3.6,5.0,
庇護,6.2,5.6,
弄痛,3.0,6.4,
弄壞,3.2,6.0,
忍,3.8,5.0,
忐忑,3.8,6.8,
忘恩負義,1.8,7.8,
快樂,7.2,6.4,
扭曲,3.6,5.2,
扶持,6.0,4.2,
批判,2.6,6.8,
把握,5.8,4.6,
抑制,4.8,5.4,
抑鬱,2.4,5.8,
投入,6.0,5.2,
抗爭,3.4,7.2,
折磨,2.4,7.0,
改善,6.6,5.2,
改進,6.2,4.6,
攻勢,5.2,6.4,
攻擊,3.6,7.4,
決心,6.4,6.6,
決定,6.0,7.0,
沉重,3.2,5.8,
沉迷,3.0,5.2,
沉著,6.4,3.2,
災,2.0,5.6,
牢騷,3.4,6.2,
狂怒,1.6,8.6,
狂笑,8.2,8.2,
狂喜,8.6,8.8,
狂暴,1.8,8.8,
狂熱,4.6,8.8,
狂躁,2.2,8.8,
私生子,3.2,4.0,
肝腸寸斷,1.6,8.0,
良,6.4,4.8,
走運,7.0,5.8,
辛酸,2.8,6.0,
邪惡,2.4,6.6,
享受,6.6,4.8,
佳,6.4,4.6,
使勁,4.6,6.4,
依戀,5.6,5.6,
典範,7.2,5.4,
刺眼,3.2,5.6,
刺痛,2.8,6.6,
刺傷,2.8,7.0,
刺激,4.2,8.0,
刻薄,2.8,6.6,
卑劣,2.0,8.0,
卑鄙,1.8,8.2,
受不了,3.0,7.4,
受苦,3.0,6.0,
受虐,1.8,8.0,
受害,1.8,7.8,
受惠,7.0,5.4,
受傷,2.8,5.4,
受罪,2.8,6.8,
受騙,3.0,6.4,
周到,6.6,4.4,
呵呵,6.0,4.6,
呼天搶地,1.8,8.8,
命運,4.8,4.4,
咆嘯,3.6,8.0,
和平,6.4,3.2,
和善,7.0,3.0,
和煦,6.8,4.0,
和睦,6.6,4.2,
和諧,7.2,3.4,
和藹,7.4,3.4,
咒罵,2.4,7.4,
固執,3.4,5.4,
坦率,6.6,4.6,
坦誠,7.0,4.2,
奇怪,4.2,5.2,
奇特,5.4,5.4,
孤,3.4,4.6,
宜人,6.4,3.8,
幸運,7.2,5.4,
幸福,7.8,4.0,
忠,7.0,5.4,
忠心,7.4,6.2,
忠孝,7.4,5.8,
忠誠,7.2,5.8,
忠實,7.0,5.8,
忽略,4.0,3.8,
忽視,3.2,4.8,
怕,3.2,6.4,
怕生,4.0,5.2,
怕羞,4.2,5.4,
怡人,6.0,4.2,
性情,5.2,4.4,
性騷擾,2.6,6.6,
怪,3.4,4.8,
怪異,3.6,5.0,
怪誕,3.4,5.8,
承擔,5.2,5.4,
承諾,6.6,5.2,
抨擊,2.8,7.2,
抱歉,4.0,3.8,
抵制,3.2,6.6,
拉緊,5.2,5.6,
拋棄,2.6,5.8,
拙劣,2.6,6.2,
放任,3.0,6.2,
放棄,2.6,5.8,
放肆,2.4,7.8,
放縱,2.8,6.8,
放鬆,6.2,2.0,
昂貴,3.8,4.4,
明亮,6.6,4.0,
明智,7.2,4.4,
昏沉,3.2,3.4,
昏亂,3.4,5.2,
昏頭,3.4,4.8,
易怒,3.2,6.6,
服從,5.4,3.8,
枉然,3.4,4.2,
果斷,6.0,6.0,
欣欣,6.4,6.4,
欣喜,7.0,7.0,
欣然,6.4,6.2,
欣慰,6.2,4.6,
欣賞,6.8,5.6,
歧視,2.8,6.8,
沮喪,2.8,5.2,
治療,5.4,3.8,
沾沾自喜,4.6,6.0,
泣,3.4,5.0,
玩耍,6.2,5.8,
玩笑,5.6,6.0,
玩樂,6.2,6.6,
知足,6.6,4.2,
知識,6.6,3.4,
空洞,4.0,3.2,
空虛,3.0,4.2,
花招,4.0,4.8,
長處,6.8,4.8,
非人,3.4,5.8,
非禮,2.2,7.6,
非難,3.2,5.6,
侵犯,2.4,6.2,
侵佔,2.6,6.6,
侵害,2.4,7.2,
侵略,2.4,7.8,
侵擾,3.0,6.8,
侵襲,2.6,7.8,
侷促,4.0,5.6,
俊美,6.6,4.6,
俗,3.8,4.6,
俗氣,3.8,4.4,
保衛,5.8,6.4,
保證,6.6,6.2,
保護,6.8,6.8,
信心,7.4,5.4,
信奉,6.6,5.2,
信義,7.0,5.4,
信實,6.6,4.8,
信譽,7.0,5.4,
冒險,4.8,7.6,
冠軍,8.0,7.4,
勇氣,7.6,6.8,
勇敢,7.4,6.6,
勉強,3.8,5.0,
叛亂,2.4,7.8,
咬牙切齒,2.2,8.2,
咯咯笑,6.4,5.8,
哀求,2.8,5.6,
哀怨,2.8,6.0,
哀淒,2.6,5.6,
哀痛,2.4,6.6,
哀傷,2.4,5.4,
哀愁,2.4,5.4,
哀號,2.0,7.4,
哀慟,1.8,7.6,
品行,5.4,4.6,
品德,5.2,4.2,
哄騙,3.4,5.6,
哈,5.8,5.2,
哈哈,6.6,6.0,
威脅,3.0,7.4,
威嚴,5.4,5.4,
帥,6.6,5.2,
帥氣,7.0,6.0,
幽默,7.0,5.6,
後悔,3.2,4.2,
怒,2.4,7.2,
怒不,3.8,5.8,
怒火,2.4,7.6,
怒斥,2.0,8.6,
怒目,2.6,8.0,
怒色,2.8,7.4,
怒吼,2.0,8.8,
怒氣,2.4,7.8,
怒視,2.4,8.0,
怒罵,1.8,8.8,
思,4.4,4.8,
思念,4.4,4.4,
思鄉,3.8,5.8,
恍惚,3.8,3.8,
恨,2.4,7.2,
恬,5.4,3.6,
恰當,6.0,4.2,
拮据,3.2,3.8,
拯救,6.4,6.6,
拷打,2.6,7.6,
拷問,2.8,7.0,
拼命,5.2,7.6,
挑剔,3.8,5.4,
挑戰,6.2,6.8,
挑釁,3.2,6.8,
挖苦,3.4,5.8,
柔,5.2,3.0,
柔軟,5.8,3.4,
柔順,5.8,3.2,
柔腸寸斷,1.8,7.8,
歪曲,3.6,4.0,
毒,2.8,5.8,
洩氣,3.6,3.6,
活力,6.6,6.2,
活潑,6.8,6.4,
活躍,6.4,7.6,
流行,5.6,5.2,
流淚,3.2,5.4,
炫耀,3.8,6.0,
為難,3.4,4.8,
狠心,2.4,7.4,
珍奇,6.8,5.8,
珍惜,7.0,5.0,
珍視,7.0,5.2,
珍貴,7.0,5.4,
珍愛,7.2,6.0,
珍藏,6.6,5.4,
盼望,6.2,5.4,
看不起,3.2,6.0,
約束,4.6,4.6,
美人,6.0,5.4,
美好,6.8,5.6,
美妙,7.0,6.2,
美味,6.8,5.6,
美夢,6.8,5.8,
美滿,7.4,6.4,
美德,7.4,5.2,
美麗,7.2,5.8,
背叛,2.0,8.0,
胡扯,3.0,7.6,
致命,2.0,7.8,
苛求,3.0,6.6,
若無其事,4.0,4.6,
苦,3.2,4.6,
苦惱,3.2,5.0,
英俊,6.6,4.4,
英勇,7.0,6.6,
英雄,7.6,7.0,
虐待,2.2,7.4,
負心,2.4,6.2,
負債,3.2,6.0,
負擔,3.6,5.2,
迫害,2.2,7.4,
重大,4.8,7.2,
重擔,3.8,7.2,
陌生,4.0,3.8,
降級,3.6,5.8,
面臨,4.8,5.8,
風險,3.8,6.4,
首要,5.2,5.0,
首創,5.4,5.6,
倒楣,3.2,5.4,
倒霉,3.2,5.4,
倔強,4.2,6.4,
值得,6.4,5.6,
值錢,6.2,5.6,
凌亂,3.4,6.0,
剝奪,3.0,6.6,
哭泣,2.8,6.6,
哭喊,2.8,7.8,
哭訴,2.8,6.8,
哭鬧,2.8,7.4,
哽咽,3.0,6.4,
唐突,3.6,5.4,
奚落,3.2,6.0,
娛樂,6.4,6.2,
害怕,3.2,5.6,
害羞,4.2,4.6,
容光煥發,7.2,5.0,
容忍,3.6,5.6,
差,3.4,4.6,
差勁,3.4,6.8,
弱,3.8,4.6,
弱點,3.8,4.8,
徒勞無功,3.4,4.4,
恐怖,3.0,6.8,
恐慌,3.0,7.0,
恐嚇,2.4,7.4,
恐懼,2.6,6.8,
恩典,6.8,4.6,
恩惠,6.4,5.0,
恭維,5.0,4.6,
悔之,4.2,5.6,
悔改,4.0,6.0,
悔恨,2.8,7.4,
悔悟,3.2,7.0,
悔意,3.0,5.8,
悔過,2.8,6.2,
挫折,3.0,5.0,
挫敗,3.0,6.8,
振奮,7.2,7.0,
捐贈,6.4,5.2,
效率,6.2,4.8,
時髦,6.4,5.2,
書呆子,3.6,4.2,
栩栩如生,6.8,5.4,
氣急敗壞,2.4,7.8,
氣憤,2.4,7.0,
氣餒,2.8,4.0,
浪漫,6.6,6.0,
消沉,3.4,4.2,
消極,3.2,4.0,
消滅,3.6,6.0,
狹小,3.8,4.0,
狹隘,3.8,4.2,
疲乏,3.0,3.8,
疲於奔命,2.4,6.0,
疲倦,3.0,4.0,
疲弱,3.0,3.6,
疲累,3.0,3.6,
疲勞,3.0,3.8,
疲憊,3.0,3.6,
疼痛,3.4,6.0,
疼愛,7.0,6.4,
益處,6.6,5.2,
真心,7.0,5.6,
真相,6.4,5.4,
真理,6.4,5.6,
真誠,7.0,5.0,
真實,6.0,4.6,
破滅,3.0,7.0,
破壞,2.8,6.8,
祝賀,7.0,6.2,
祝福,6.6,5.8,
神經病,2.8,6.4,
神經質,3.2,5.6,
神聖,7.2,5.0,
笑,6.8,5.8,
笑死,5.4,7.0,
笑容,7.2,5.2,
笑話,5.8,4.8,
紛爭,3.0,6.6,
缺少,3.6,4.4,
缺乏,3.4,4.6,
缺失,3.6,4.4,
缺陷,3.0,4.6,
缺德,2.8,6.8,
缺憾,2.6,6.2,
缺點,3.6,4.6,
能幹,6.8,6.0,
脅迫,2.6,7.2,
脆弱,3.4,4.6,
臭,3.8,4.6,
臭味,3.8,5.0,
臭氣,3.6,5.4,
茫然,3.4,3.4,
草率,3.4,4.8,
荒唐,2.8,6.8,
荒謬,2.6,7.2,
虔誠,6.6,5.4,
衰,3.6,4.2,
衰老,3.4,4.2,
衰弱,3.2,5.0,
衰退,3.2,5.0,
衰敗,3.0,6.2,
衰微,3.2,4.8,
衷心,6.6,5.4,
討喜,6.8,6.0,
迴避,3.6,5.0,
迷人,6.8,6.2,
迷失,3.4,4.6,
迷惘,3.4,5.0,
迷惑,3.4,4.6,
迷亂,3.2,6.2,
迷路,4.2,5.2,
迷戀,4.4,6.2,
逃離,4.0,6.2,
逆向,4.0,4.4,
高貴,6.6,4.0,
高階,5.8,3.8,
高雅,7.0,4.0,
高傲,3.2,6.0,
高興,7.0,6.6,
假裝,4.2,4.6,
偉大,7.2,6.6,
偏心,3.2,5.4,
偏好,5.2,4.0,
偏見,3.4,5.6,
偏執,3.6,5.6,
偏愛,5.0,4.8,
偷,2.4,5.0,
偷取,2.4,6.4,
偷竊,2.4,7.0,
偽造,2.6,6.0,
動人,6.8,6.2,
動聽,7.0,6.6,
啜泣,3.0,6.8,
執拗,3.6,6.0,
堅決,5.4,6.2,
堅定,6.2,6.4,
堅強,6.8,6.2,
娼妓,2.8,5.8,
寂寞,3.2,4.6,
寂寥,3.2,2.4,
崇拜,6.4,6.8,
崇高,7.2,6.4,
強,6.4,5.4,
強力,6.2,6.4,
強壯,6.8,5.4,
強姦,1.4,8.4,
強迫,2.8,7.4,
強烈,4.8,7.8,
強健,6.6,6.4,
強硬,4.8,7.0,
強暴犯,1.4,8.6,
得意,5.8,5.4,
得意洋洋,4.6,6.6,
得罪,3.2,5.6,
得體,6.2,4.6,
徘徊,4.6,4.6,
從容,5.8,3.4,
悠閒,6.4,2.6,
患病,2.8,4.8,
情緒,4.6,5.4,
惋惜,3.0,4.4,
掃興,3.2,4.8,
排斥,3.2,6.0,
掙扎,3.2,7.4,
掛念,4.8,5.2,
掛慮,4.8,6.0,
控制,4.2,5.0,
推崇,6.4,5.8,
敏捷,6.2,5.4,
敏感,4.6,5.0,
敏銳,6.4,5.2,
救,5.0,6.4,
敗壞,2.6,7.6,
欲絕,2.0,8.2,
殺,1.6,7.8,
殺死,1.4,8.2,
淘氣,5.6,5.6,
淚流滿面,2.0,7.8,
淚珠,3.6,4.6,
淡漠,4.0,2.2,
淨土,5.4,3.2,
深思,5.2,2.6,
深情,7.2,5.2,
深愛,8.0,6.4,
混帳,1.6,8.0,
混亂,3.0,6.4,
淹沒,3.6,5.6,
清白,6.2,3.4,
清楚,5.6,3.8,
爽,7.2,7.2,
爽心,7.2,7.0,
爽快,7.4,6.8,
爽約,3.2,5.4,
爽朗,6.8,5.2,
牽掛,4.4,5.0,
猛烈,4.6,8.4,
猜疑,3.2,5.6,
理智,6.2,3.6,
理想,6.8,5.0,
甜言,6.4,5.0,
甜美,6.6,3.6,
甜密,7.0,5.0,
甜甜,6.4,4.4,
甜蜜,6.8,5.4,
甜頭,5.8,4.6,
疏忽,3.4,5.4,
疏漏,3.4,5.4,
盛怒,1.8,8.6,
眼花撩亂,4.4,5.6,
眼花繚亂,4.4,5.6,
眼淚,3.4,5.8,
眾怒,2.0,8.0,
窒息,2.2,4.8,
窒礙,2.6,6.8,
